InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
536399,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 10:52,1.85,17850.0
536399,22633,HAND WARMER UNION JACK,6,12/1/2010 10:52,1.85,17850.0
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,3,12/1/2010 11:45,6.35,17908.0
536409,21479,WHITE SKULL HOT WATER BOTTLE ,1,12/1/2010 11:45,3.75,17908.0
536409,22111,SCOTTIE DOG HOT WATER BOTTLE,1,12/1/2010 11:45,4.95,17908.0
536409,22785,SQUARECUSHION COVER PINK UNION FLAG,1,12/1/2010 11:45,6.75,17908.0
536409,22975,SPACEBOY CHILDRENS EGG CUP,1,12/1/2010 11:45,1.25,17908.0
536409,22972,CHILDREN'S SPACEBOY MUG,1,12/1/2010 11:45,1.65,17908.0
536409,22866,HAND WARMER SCOTTY DOG DESIGN,1,12/1/2010 11:45,2.1,17908.0
536409,22568,FELTCRAFT CUSHION OWL,1,12/1/2010 11:45,3.75,17908.0
536409,85116,BLACK CANDELABRA T-LIGHT HOLDER,1,12/1/2010 11:45,2.1,17908.0
536409,22664,TOY TIDY DOLLY GIRL DESIGN,1,12/1/2010 11:45,2.1,17908.0
536409,21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,1,12/1/2010 11:45,2.95,17908.0
536409,21866,UNION JACK FLAG LUGGAGE TAG,1,12/1/2010 11:45,1.25,17908.0
536409,20669,RED HEART LUGGAGE TAG,1,12/1/2010 11:45,1.25,17908.0
536409,90129F,RED GLASS TASSLE BAG CHARM,1,12/1/2010 11:45,2.95,17908.0
536409,90210B,CLEAR ACRYLIC FACETED BANGLE,1,12/1/2010 11:45,2.95,17908.0
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,1,12/1/2010 11:45,6.35,17908.0
536409,21955,DOORMAT UNION JACK GUNS AND ROSES,1,12/1/2010 11:45,7.95,17908.0
536409,72802C,VANILLA SCENT CANDLE JEWELLED BOX,1,12/1/2010 11:45,4.25,17908.0
536409,22109,FULL ENGLISH BREAKFAST PLATE,1,12/1/2010 11:45,3.75,17908.0
536409,85116,BLACK CANDELABRA T-LIGHT HOLDER,5,12/1/2010 11:45,2.1,17908.0
536409,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1,12/1/2010 11:45,0.42,17908.0
536409,21811,CHRISTMAS HANGING HEART WITH BELL,1,12/1/2010 11:45,1.25,17908.0
536409,22183,CAKE STAND VICTORIAN FILIGREE MED,1,12/1/2010 11:45,6.75,17908.0
536409,21678,PAISLEY PATTERN  STICKERS,6,12/1/2010 11:45,0.85,17908.0
536409,21676,FLOWERS  STICKERS,6,12/1/2010 11:45,0.85,17908.0
536409,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,1,12/1/2010 11:45,2.95,17908.0
536409,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,3,12/1/2010 11:45,2.95,17908.0
536409,21931,JUMBO STORAGE BAG SUKI,2,12/1/2010 11:45,1.95,17908.0
536409,85169B,BLACK LOVE BIRD CANDLE,12,12/1/2010 11:45,1.25,17908.0
536409,16238,PARTY TIME PENCIL ERASERS,28,12/1/2010 11:45,0.21,17908.0
536409,20668,DISCO BALL CHRISTMAS DECORATION,24,12/1/2010 11:45,0.12,17908.0
536409,84906,PINK B'FLY C/COVER W BOBBLES,1,12/1/2010 11:45,5.95,17908.0
536409,21867,PINK UNION JACK  LUGGAGE TAG,1,12/1/2010 11:45,1.25,17908.0
536409,22075,6 RIBBONS ELEGANT CHRISTMAS ,1,12/1/2010 11:45,1.65,17908.0
536409,21866,UNION JACK FLAG LUGGAGE TAG,1,12/1/2010 11:45,1.25,17908.0
536409,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,12/1/2010 11:45,0.65,17908.0
536409,21065,BOOM BOX SPEAKER GIRLS,1,12/1/2010 11:45,5.95,17908.0
536409,22074,6 RIBBONS SHIMMERING PINKS ,1,12/1/2010 11:45,1.65,17908.0
536409,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,12/1/2010 11:45,2.95,17908.0
536409,20713,JUMBO BAG OWLS,1,12/1/2010 11:45,1.95,17908.0
536409,20966,SANDWICH BATH SPONGE,2,12/1/2010 11:45,1.25,17908.0
536409,21116,OWL DOORSTOP,1,12/1/2010 11:45,4.95,17908.0
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,2,12/1/2010 11:45,6.35,17908.0
536409,22633,HAND WARMER UNION JACK,1,12/1/2010 11:45,2.1,17908.0
536409,22866,HAND WARMER SCOTTY DOG DESIGN,1,12/1/2010 11:45,2.1,17908.0
536409,22198,LARGE POPCORN HOLDER ,1,12/1/2010 11:45,1.65,17908.0
536409,21824,PAINTED METAL STAR WITH HOLLY BELLS,3,12/1/2010 11:45,1.45,17908.0
536409,21823,PAINTED METAL HEART WITH HOLLY BELL,3,12/1/2010 11:45,1.45,17908.0
536409,22153,ANGEL DECORATION STARS ON DRESS,6,12/1/2010 11:45,0.42,17908.0
536409,22197,SMALL POPCORN HOLDER,2,12/1/2010 11:45,0.85,17908.0
536409,85099B,JUMBO BAG RED RETROSPOT,2,12/1/2010 11:45,1.95,17908.0
536409,85099F,JUMBO BAG STRAWBERRY,1,12/1/2010 11:45,1.95,17908.0
536409,20717,STRAWBERRY SHOPPER BAG,1,12/1/2010 11:45,1.25,17908.0
536409,20723,STRAWBERRY CHARLOTTE BAG,1,12/1/2010 11:45,0.85,17908.0
536409,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,12/1/2010 11:45,2.95,17908.0
